Call_ID,Sentence,Label
CALL1,Thank you for calling health for spilling,Greeting
CALL1,This is Sarah speaking,Greeting
CALL1,How can I assist you today,Greeting
CALL1,Hi Sarah,Body
CALL1,"I received a bill for $600 related to my x-ray last month, but I was under the impression that my insurance was supposed to cover it",Body
CALL1,I'm sorry to hear about the confusion,Body
CALL1,Let me take a look into this for you,Body
CALL1,Could you please provide your account or policy number,Body
CALL1,Sure,Body
CALL1,It's 45789 under the name John Miller,Body
CALL1,Thank you Mr,Body
CALL1,Miller,Body
CALL1,Please hold for a moment while I pull up your account details,Body
CALL1,"All right, I see here that your insurance did process the claim, but they only covered 80% of the total cost",Body
CALL1,I understand your concern,Body
CALL1,"According to the policy notes, X-rays are classified under standard imaging, which is covered at 80%",Body
CALL1,Only advanced imaging like CT or MRI scans have higher coverage,Body
CALL1,Nobody explained that to me,Body
CALL1,So now I'm responsible for $120 out of pocket,Body
CALL1,"Yes, that is correct",Body
CALL1,The remaining balance after insurance is $120,Body
CALL1,I honestly don't think it's fair,Body
CALL1,Is there any way to appeal this,Body
CALL1,You do have the option to file an appeal with your insurance provider if you believe the service should have been fully covered,Body
CALL1,I can provide you with the claim reference number and instructions,Body
CALL1,"Okay, what's the reference number",Body
CALL1,It's 9876545,Body
CALL1,"When you contact your insurance company, just provide this number and they'll guide you through the appeal process",Body
CALL1,"All right, but in the meantime, do I have to pay the $120",Body
CALL1,You're not required to pay it until the appeal is resolved,Body
CALL1,"However, if you'd like, we can also set up a payment plan so that the balance doesn't feel overwhelming",Body
CALL1,A payment plan might help,Body
CALL1,What options do you have,Body
CALL1,"We can arrange three monthly payments of $40 each or six payments of $20 each, whichever works better for you",Body
CALL1,Let's go with the three-month option,Body
CALL1,Perfect,Body
CALL1,I've scheduled three payments of $40 each starting from October 1st,Body
CALL1,You'll receive a confirmation email shortly,Body
CALL1,"Okay, thank you for helping me understand this",Body
CALL1,"You're most welcome, Mr",Body
CALL1,Miller,Body
CALL1,Is there anything else I can help you with today,Closing
CALL1,"No, that's all for now",Body
CALL1,All right,Body
CALL1,Thank you for calling Health First Billing,Greeting
CALL1,Have a great day.,Closing
CALL2,Thank you for calling Health First Billing,Greeting
CALL2,This is Daniel,Greeting
CALL2,How may I help you today,Greeting
CALL2,"Hi, Daniel",Body
CALL2,I just wanted to check the status of my insurance claim for a procedure I had earlier this month,Body
CALL2,Of course,Body
